zone_code,yaw_bin_center_deg,status,weight,convention
A01,-60,exclude,0.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,-40,limited,0.25,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,-25,support,0.6,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,-10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,0,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,25,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,40,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A01,60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,-60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,-40,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,-25,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,-10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,0,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,25,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,40,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A02,60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,-60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,-40,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,-25,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,-10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,0,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,25,support,0.6,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,40,limited,0.25,+yaw exposes anatomical-left; image-left is not anatomical-left
A03,60,exclude,0.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,-60,exclude,0.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,-40,limited,0.25,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,-25,support,0.6,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,-10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,0,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,25,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,40,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A04,60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,-60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,-40,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,-25,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,-10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,0,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,25,support,0.6,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,40,limited,0.25,+yaw exposes anatomical-left; image-left is not anatomical-left
A05,60,exclude,0.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,-60,exclude,0.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,-40,limited,0.25,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,-25,support,0.6,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,-10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,0,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,10,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,25,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,40,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A06,60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
A07,-60,primary,1.0,+yaw exposes anatomical-left; image-left is not anatomical-left
