zone_code,yaw_bin_center_deg,status,weight,convention
A01,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A01,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A02,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A03,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A04,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A05,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A06,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
