stem,score106_coords,score134_coords,rank106,rank134,both_top25
1999_08_12_2__f8d0dfc4ed4d,9.152183171307907,8.887213674175534,15.0,15.0,True
1999_09_01__fdfba9d7bcd5,1.510001069630659,1.6643188878311939,102.0,93.0,False
1999_10_19__330e619ff8aa,1.098873422522102,1.0238451981398144,133.0,139.0,False
1999_10_23__9487fe3a5a1d,1.9435587646030816,2.045929425349421,74.0,72.0,False
1999_12_19__268029ccb16b,9.290670183235495,8.926679467326743,8.0,12.0,True
2000_01_14__71a2978f8963,1.2865443991305785,1.5427153498266037,122.0,104.0,False
2000_01_25__abb13fb9f924,1.7605629154724245,1.9423362872647698,87.0,79.0,False
2000_01_26__491e4b1a2e04,1.1198539923789397,1.3372511825063247,132.0,119.0,False
2000_03_25__81bbc9e35b9f,2.855467526641685,2.8511186951521497,40.0,42.0,False
2000_04_17__c4939789cb22,1.9432716331599087,2.2196195731517343,75.0,63.0,False
2000_05_08_3__269c19d69c54,1.5355926534607451,1.6529563147126631,100.0,94.0,False
2000_05_09_2__bef8b5c58a70,9.111016756285087,8.997124297250402,20.0,9.0,True
2000_05_09__f521e8b04028,9.345721768453574,9.274543220595946,5.0,3.0,True
2000_06_14__212639178b9b,1.6081277919747627,1.7139031928922133,95.0,90.0,False
2000_07_08__af2f680df36f,2.727122436283137,3.204524316696003,43.0,37.0,False
2000_07_23__5f52c4b8b456,9.198252721502865,9.065949394878803,13.0,6.0,True
2001_02_27_3__19b6ca387359,1.0284947715078712,1.0785510960285536,138.0,136.0,False
2001_02_27__fb61b453ec73,2.9981055380537756,3.203422754983107,36.0,38.0,False
2001_03_23__e0ecdfe4b1e3,1.6218691095212474,2.078770869100508,94.0,71.0,False
2001_03_29__a39e57f1bc9a,1.1669389496354077,1.0939989828452221,128.0,135.0,False
2001_04_14__1e62238ac16a,1.4704539218835435,1.485334447835803,106.0,107.0,False
2001_06_16_2__69d51850915d,9.133472206806589,8.882388342056062,18.0,17.0,True
2001_06_16__71d032996fa8,9.524394511077952,9.22349472353348,3.0,4.0,True
2001_09_06_1__245c19779dd7,9.274257001295586,8.85757140900899,10.0,20.0,True
2001_11_01__431490e159af,10.414117363273492,10.910959816870154,1.0,1.0,True
2001_11_05__b352749108db,2.112005306504649,2.241441740060102,63.0,61.0,False
2002_07_10__b381fac011aa,1.8807104472655485,2.045872313308313,80.0,73.0,False
2002_11_01__91b483a91623,2.2959868964657377,2.430353550937101,56.0,56.0,False
2002_12_02__c759b9171ecc,1.9828007512655397,2.1243823544232776,73.0,69.0,False
2003_01_10__23b16927f674,2.645009249914653,2.3896771434369786,45.0,57.0,False
2003_02_10_1__3769e8a139ff,8.939867368002353,8.873787109715686,27.0,18.0,False
2003_02_10__8b8a3de48d19,1.3746245438799398,1.4406313238234152,114.0,110.0,False
2003_02_23__d83f5fd3cb0e,2.095487146527854,1.7830533215627513,66.0,85.0,False
2003_03_09__d963c3a2a7fd,9.420345211173796,9.058972115061268,4.0,8.0,True
2003_05_27__2ae6d9853e43,1.5758724640298252,1.5492667682001007,97.0,102.0,False
2003_05_31__e9ac5dbfdd44,1.1635223831760169,1.2062161297779572,129.0,127.0,False
2003_06_01__f274abb4ab60,1.486102869899957,1.6012363864804326,104.0,98.0,False
2003_06_21__ac7632b62d02,2.234057599717451,2.7859515418752654,60.0,44.0,False
2003_08_04_5__ff990e8c18e9,9.274853291527512,8.936947214240764,9.0,11.0,True
2003_10_10_2__fdf2604badbd,1.9933805283259671,2.173171995152798,72.0,65.0,False
2003_10_10__72f1e0141a60,2.6395363308884394,2.4489479376886503,46.0,54.0,False
2003_10_16__faa3a4aaff20,10.142454586763472,9.556917986652612,2.0,2.0,True
2003_12_31__74aef83c2fd7,1.2312193533942537,1.0345001604718453,124.0,138.0,False
2004_01_15__28173705e988,2.105107759897345,2.1627532481290923,64.0,67.0,False
2004_04_14_2__94ea1ed0423e,1.8518974011514804,1.7795626286505508,81.0,86.0,False
2004_05_18__df8bec57cdb1,1.3568953830941866,1.3652622398284109,115.0,117.0,False
2004_09_24__b548f1ec1542,1.7750296098495022,1.5427607368485334,86.0,103.0,False
2004_09_28__a2845eed8e20,8.877044405722543,8.637224814388153,30.0,31.0,False
2004_11_21__f960ff2a830e,1.3409203245953754,1.4464884294246836,117.0,109.0,False
2005_04_10__1805ec77ee6b,1.7768138391246069,1.7081106652921503,85.0,91.0,False
2005_05_01__6dfbdcfbb01e,0.9782570999184591,1.1450786050023205,140.0,132.0,False
2005_05_08__ebecb32e98dc,9.076403297865996,8.699708811542088,22.0,28.0,False
