landmark_id,x,y,z
0,-0.39034998,0.26283786,0.12287909
1,-0.36268055,0.24222660,0.14965068
2,-0.34004807,0.23283418,0.16411392
3,-0.31227976,0.22611333,0.17610775
4,-0.29131141,0.22392625,0.18193169
5,-0.27033833,0.22037959,0.18598279
6,-0.23756602,0.21701412,0.18537466
7,-0.21789150,0.22461247,0.18271273
8,-0.20072383,0.22706768,0.18058267
9,-0.17580664,0.23550886,0.16723435
10,-0.15678196,0.24422260,0.15599394
11,-0.41274139,0.27698961,0.11590818
12,-0.38371575,0.28905556,0.15063486
13,-0.36216208,0.30434549,0.17823790
14,-0.33665779,0.31361008,0.19359581
15,-0.30780125,0.32522660,0.20566270
16,-0.28661799,0.32682812,0.20859347
17,-0.25597891,0.31980398,0.20523064
18,-0.22903344,0.31552404,0.19977993
19,-0.21312517,0.30312446,0.19079570
20,-0.19298187,0.28491223,0.17927632
21,-0.17201881,0.27175030,0.17213476
22,0.40128815,0.26514471,0.11507782
23,0.37085024,0.24078423,0.14772852
24,0.34095332,0.22978744,0.16467042
25,0.31354371,0.22449021,0.17612223
26,0.29414850,0.21905619,0.18324490
27,0.27282435,0.22325934,0.18444055
28,0.25089288,0.22587144,0.18538103
29,0.22165830,0.22764622,0.18111798
30,0.20500223,0.23537044,0.17913665
31,0.18079105,0.24310935,0.17007984
32,0.16108268,0.24930662,0.15868956
33,0.41726390,0.27918613,0.12579259
34,0.39097375,0.29368418,0.15473872
35,0.36481583,0.30699581,0.17653847
36,0.33871076,0.31650543,0.19014843
37,0.31684178,0.32179692,0.19695482
38,0.28971151,0.33175114,0.20210093
39,0.26736379,0.32475972,0.19991091
40,0.24223350,0.31959784,0.19567616
41,0.21683587,0.30729556,0.18820882
42,0.19921301,0.29398704,0.18173158
43,0.17492060,0.27375785,0.17257348
44,-0.51510650,0.40863580,0.05722320
45,-0.48153827,0.47336981,0.10304995
46,-0.43327343,0.52191526,0.14221323
47,-0.36708483,0.53711951,0.19477497
48,-0.30497551,0.52346170,0.23663485
49,-0.23172954,0.49217576,0.27024084
50,-0.16254774,0.46457756,0.28486651
51,-0.47736019,0.43516761,0.12815668
52,-0.42815885,0.46483070,0.18009540
53,-0.36618933,0.45354012,0.21964657
54,-0.29145685,0.44445401,0.24277501
55,-0.22175539,0.42607069,0.24938002
56,-0.14637810,0.41302615,0.26276776
57,0.52829981,0.41678491,0.04763208
58,0.49920198,0.47659168,0.09219921
59,0.44829467,0.53462547,0.13323814
60,0.38353273,0.55878890,0.18236491
61,0.31288832,0.53669488,0.23814031
62,0.23961991,0.50218034,0.27390185
63,0.16926757,0.48416847,0.29111010
64,0.48585552,0.43634465,0.12604141
65,0.44067734,0.47164837,0.17444104
66,0.37422940,0.47477382,0.21880230
67,0.30001631,0.45383021,0.24316159
68,0.23223540,0.44276914,0.25723243
69,0.16048211,0.42665443,0.27119499
70,-0.21915969,-0.38568896,0.24973696
71,-0.20606495,-0.36516327,0.27362153
72,-0.18943323,-0.34715977,0.30814976
73,-0.16473445,-0.32432428,0.33897275
74,-0.14482875,-0.30569485,0.35699698
75,-0.12027781,-0.28457084,0.37178490
76,-0.08693968,-0.26654115,0.38620743
77,-0.04179461,-0.25490379,0.40145373
78,0.01131490,-0.26445436,0.40816316
79,0.06407607,-0.25314829,0.39693028
80,0.10564855,-0.26492923,0.37927893
81,0.13640106,-0.28334627,0.35992223
82,0.15882058,-0.30302295,0.33991781
83,0.17840655,-0.31833583,0.31804749
84,0.20175299,-0.33753496,0.28437456
85,0.21793176,-0.35224044,0.25465414
86,0.22345342,-0.37404892,0.22878528
87,-0.19832295,-0.38114658,0.25403243
88,-0.18170945,-0.37336028,0.27605677
89,-0.15179349,-0.36438924,0.30100864
90,-0.12558685,-0.35887340,0.31922740
91,-0.10120775,-0.35263667,0.33184755
92,-0.07658601,-0.34877241,0.34157154
93,-0.04889552,-0.34694579,0.34896424
94,-0.01915590,-0.34780264,0.35041323
95,0.00928726,-0.34765202,0.34907359
96,0.03888085,-0.34773394,0.34692144
97,0.06744545,-0.34637278,0.34222570
98,0.09362378,-0.34638137,0.33119944
99,0.11717827,-0.34825361,0.31851277
100,0.13984112,-0.35275963,0.30160129
101,0.16594756,-0.35750923,0.27949211
