landmark_id,x,y,z
0,-1.14694893,0.47540733,0.76121491
1,-1.17188013,0.31686321,0.69571126
2,-1.18277013,0.16748245,0.65675575
3,-1.15724599,0.03365893,0.64162034
4,-1.14792085,-0.09510573,0.61331785
5,-1.13294494,-0.23569585,0.57713974
6,-1.06821692,-0.37728661,0.56846988
7,-0.99300081,-0.53214580,0.57100850
8,-0.92245400,-0.67936051,0.57000774
9,-0.81298000,-0.82318515,0.57319373
10,-0.70469421,-0.94573683,0.54745847
11,-0.51066095,-1.05302322,0.50305331
12,-0.31143665,-1.14613914,0.41850510
13,-0.11325315,-1.23983419,0.34747913
14,0.04195262,-1.30504322,0.27101931
15,0.12132634,-1.34656096,0.13550775
16,0.17637101,-1.34476888,0.06911872
17,0.17139862,-1.34806550,-0.01551930
18,0.21374926,-1.29763091,-0.16717400
19,0.10311821,-1.23875523,-0.33542562
20,0.01484268,-1.12663507,-0.50751907
21,-0.09023761,-1.02415049,-0.70438862
22,-0.18452191,-0.90502125,-0.85435832
23,-0.25257453,-0.78602290,-0.96450907
24,-0.31758124,-0.63645387,-1.04765797
25,-0.36764187,-0.49262443,-1.10245490
26,-0.42788020,-0.33829245,-1.14924455
27,-0.46567300,-0.18985951,-1.19922841
28,-0.48868126,-0.04905553,-1.23962736
29,-0.44820252,0.08908066,-1.26065111
30,-0.45827574,0.22484280,-1.27512360
31,-0.45148441,0.36007583,-1.30164087
32,-0.39924887,0.51022655,-1.33119857
33,-0.23190948,0.55388057,0.82569075
34,-0.00773657,0.67876863,0.73739040
35,0.19187167,0.70193040,0.61262327
36,0.31751338,0.66592574,0.49138862
37,0.38557714,0.60166031,0.38151926
38,0.35095185,0.55424815,0.37948322
39,0.29142201,0.56781727,0.50708109
40,0.20407483,0.62077856,0.65966356
41,0.00665283,0.62011027,0.78835493
42,0.54170215,0.59306580,-0.03040510
43,0.55838698,0.66104758,-0.16594096
44,0.54627293,0.70999783,-0.34216347
45,0.47810900,0.70237148,-0.56701827
46,0.35034391,0.58083963,-0.78163254
47,0.52181971,0.63092482,-0.57520860
48,0.58020592,0.62119299,-0.35063568
49,0.54774779,0.56790137,-0.20320661
50,0.52631140,0.54374826,-0.05651076
51,0.48856547,0.40416041,0.18132253
52,0.55292177,0.29177755,0.22131203
53,0.66249150,0.12897483,0.27329233
54,0.74497879,0.02202133,0.30117995
55,0.35009763,0.33244053,0.25144044
56,0.44215328,0.04993933,0.35943449
57,0.28289619,-0.06509680,0.34992841
58,0.42025277,-0.18354250,0.32706437
59,0.56337702,-0.19624241,0.27522439
60,0.57680249,-0.23903885,0.22657047
61,0.59790921,-0.19709925,0.19739521
62,0.53278476,-0.19101956,0.05315152
63,0.44746828,-0.07162119,-0.06415823
64,0.55991101,0.05343239,0.04035640
65,0.41224205,0.34240404,0.02962753
66,-0.06142845,0.40316257,0.63929963
67,0.09956541,0.49505576,0.56864166
68,0.15752526,0.52447605,0.49244168
69,0.16610453,0.46887642,0.39554203
70,0.16238444,0.37719569,0.30742940
71,0.15965919,0.35835496,0.39140815
72,0.12709475,0.35287476,0.48081651
73,0.06520330,0.36106539,0.55787295
74,0.15934744,0.45515034,0.47349128
75,0.30816182,0.41163370,-0.16730192
76,0.39492294,0.47604781,-0.24969026
77,0.43318927,0.51357871,-0.32748407
78,0.40998015,0.48731434,-0.43592471
79,0.35534385,0.41945875,-0.56556559
80,0.38729551,0.37789547,-0.45102459
81,0.38933972,0.36665764,-0.33405361
82,0.36119688,0.37649816,-0.24772422
83,0.40781581,0.45148098,-0.29567620
84,0.15878233,-0.58809268,0.46909392
85,0.34566319,-0.49410987,0.38644448
86,0.48671067,-0.43449807,0.27359602
87,0.52436745,-0.44814762,0.20585683
88,0.54988092,-0.43233383,0.13386491
89,0.52627307,-0.48986682,-0.03055758
90,0.43524373,-0.59026504,-0.22453251
91,0.49392837,-0.64764935,-0.04533003
92,0.51545674,-0.68385243,0.07160497
93,0.48514396,-0.69618446,0.18729270
94,0.42566937,-0.68430746,0.29479834
95,0.32564500,-0.64925528,0.37323943
96,0.17029934,-0.58207083,0.44001284
97,0.40197253,-0.53546327,0.27187437
98,0.45796996,-0.53173858,0.17835923
99,0.47864842,-0.53124475,0.07512430
100,0.43109202,-0.58048826,-0.20612577
101,0.46175319,-0.57662547,0.06866489
102,0.44330850,-0.58624083,0.16643295
103,0.38695455,-0.58430016,0.26450160
104,0.15313497,0.44090620,0.48366040
105,0.41394761,0.44848627,-0.32362616
