landmark_id,x,y,z
0,-0.69448888,0.24379143,-0.49556941
1,-0.67228228,0.15511930,-0.51527333
2,-0.67005515,0.06436309,-0.51700014
3,-0.65720314,-0.02196823,-0.50247216
4,-0.63551497,-0.10761704,-0.49841827
5,-0.60716635,-0.20601803,-0.49507329
6,-0.58486044,-0.28532615,-0.47089571
7,-0.56447053,-0.37016755,-0.43510938
8,-0.53974247,-0.44777146,-0.39997870
9,-0.50763190,-0.51885122,-0.34060246
10,-0.45945051,-0.57664156,-0.28525940
11,-0.39162192,-0.62652159,-0.18295313
12,-0.30850583,-0.67754161,-0.08319304
13,-0.21992640,-0.71874011,0.01665784
14,-0.13124423,-0.74619335,0.09410471
15,-0.03282524,-0.76899070,0.11180194
16,0.01926067,-0.76598990,0.13067012
17,0.07066967,-0.76797587,0.10796177
18,0.16715045,-0.73854673,0.09857509
19,0.24909660,-0.71941173,-0.01200141
20,0.33317423,-0.67111027,-0.10166067
21,0.41276887,-0.61925960,-0.20983747
22,0.47466621,-0.56547588,-0.29981530
23,0.52192098,-0.50850081,-0.36213824
24,0.55690891,-0.43071255,-0.41262016
25,0.57878524,-0.35148144,-0.44455555
26,0.59487921,-0.26461506,-0.47605538
27,0.61776257,-0.17585954,-0.49069232
28,0.63591933,-0.08914705,-0.50679541
29,0.65407038,-0.00325741,-0.49468097
30,0.66051787,0.07765630,-0.50844038
31,0.66225660,0.15804608,-0.52273798
32,0.67799520,0.24609320,-0.49882284
33,-0.50902414,0.41814014,0.04169849
34,-0.42539239,0.51830322,0.12823302
35,-0.32345805,0.53548521,0.20609114
36,-0.23243611,0.51419556,0.25202873
37,-0.15294713,0.47621420,0.27233273
38,-0.15914151,0.43852440,0.25953662
39,-0.24042210,0.44482958,0.24609673
40,-0.33734599,0.47276938,0.22249213
41,-0.43673590,0.46545786,0.15189223
42,0.16039538,0.47169936,0.27780482
43,0.24167740,0.50991350,0.25736433
44,0.33160090,0.53356689,0.21257308
45,0.43221372,0.51581061,0.13887081
46,0.51539922,0.42181450,0.05304358
47,0.43456781,0.46550283,0.16542031
48,0.33433464,0.46848971,0.23129550
49,0.25336081,0.45173475,0.25111696
50,0.17250635,0.44225928,0.26911622
51,0.01052287,0.24253894,0.28148565
52,0.00512190,0.15712859,0.35255265
53,0.00062796,0.05814394,0.43838400
54,0.00267904,-0.00805867,0.48935723
55,-0.06591661,0.19996585,0.23687410
56,-0.10418829,0.00471874,0.34007445
57,-0.14887717,-0.07151470,0.27413958
58,-0.09531963,-0.14183845,0.33297890
59,-0.02609300,-0.13368961,0.37993580
60,0.00332990,-0.15480652,0.38121405
61,0.02938488,-0.13425821,0.37855852
62,0.10051702,-0.14389530,0.32481357
63,0.15749329,-0.07586794,0.26868474
64,0.10778362,0.00097534,0.33531472
65,0.08389013,0.20011854,0.23506559
66,-0.38612372,0.26838285,0.12396291
67,-0.31514764,0.29205203,0.18944192
68,-0.25808606,0.30021858,0.20996946
69,-0.19799317,0.27802289,0.19320554
70,-0.15310912,0.23994979,0.17012236
71,-0.20518889,0.22237051,0.19170804
72,-0.26225168,0.22371018,0.19385250
73,-0.32117987,0.23263666,0.17674492
74,-0.25060204,0.27097714,0.20489815
75,0.16207972,0.24517435,0.16538094
76,0.21923435,0.28070965,0.19665946
77,0.26856327,0.29917139,0.20436141
78,0.32939672,0.29066932,0.17877494
79,0.39496055,0.27181870,0.12617303
80,0.33513802,0.23558229,0.16729425
81,0.26992700,0.22581227,0.18756863
82,0.22191039,0.23041511,0.18677704
83,0.25059804,0.26685870,0.19950835
84,-0.22022361,-0.37005496,0.25268111
85,-0.14898300,-0.29723275,0.35607550
86,-0.04826962,-0.24842782,0.40267599
87,0.00679257,-0.25851449,0.41200706
88,0.06141476,-0.24822848,0.40098855
89,0.16115037,-0.29834327,0.34504807
90,0.24418266,-0.36274627,0.23296623
91,0.16427998,-0.40836251,0.31876281
92,0.09627162,-0.44474214,0.36434892
93,0.01795405,-0.45484880,0.37847227
94,-0.06365706,-0.44916373,0.36811560
95,-0.13570404,-0.41579607,0.32805008
96,-0.19718860,-0.36686137,0.25831643
97,-0.06115609,-0.33169472,0.35482970
98,0.00782772,-0.32409793,0.37076473
99,0.07748738,-0.33007875,0.35250956
100,0.22782876,-0.36024407,0.23651241
101,0.08531258,-0.35609543,0.35401130
102,0.01779133,-0.35989982,0.36714393
103,-0.05408815,-0.35883459,0.35755998
104,-0.25862268,0.26456803,0.20403901
105,0.26778272,0.26516581,0.19861132
