landmark_id,x,y,z
0,-1.16316164,0.46735993,0.78031141
1,-1.18709064,0.31090540,0.71413344
2,-1.20338285,0.16117765,0.68009222
3,-1.18231940,0.02716389,0.67091906
4,-1.17340219,-0.10358049,0.64399290
5,-1.16409612,-0.25061306,0.59795070
6,-1.09422076,-0.38199273,0.58908463
7,-1.00973809,-0.52318019,0.59589738
8,-0.93029249,-0.65802974,0.59921956
9,-0.81068403,-0.78868514,0.60878587
10,-0.69453573,-0.89914316,0.58859593
11,-0.49415648,-0.99237376,0.55315167
12,-0.29376671,-1.06897998,0.46899045
13,-0.09350463,-1.13807213,0.38408124
14,0.06767659,-1.18621516,0.29867175
15,0.15123807,-1.22032177,0.16396041
16,0.20852302,-1.21681905,0.09839637
17,0.20302162,-1.22090423,0.01410870
18,0.24439423,-1.17609775,-0.14089239
19,0.13389005,-1.13713193,-0.32051727
20,0.05023538,-1.04700744,-0.50936377
21,-0.05487676,-0.96470469,-0.71799433
22,-0.15386190,-0.85705358,-0.87053621
23,-0.22997884,-0.74737853,-0.98051834
24,-0.30595142,-0.61188519,-1.06719851
25,-0.36693281,-0.48127249,-1.12553036
26,-0.43688160,-0.34019461,-1.17736256
27,-0.47887722,-0.19983000,-1.23259628
28,-0.49732181,-0.05736845,-1.27660954
29,-0.45528671,0.08145737,-1.29891610
30,-0.46258345,0.21920796,-1.30854571
31,-0.45032597,0.35765597,-1.33093584
32,-0.39569938,0.50724715,-1.35554338
33,-0.25340292,0.52592880,0.82641703
34,-0.03287264,0.66478229,0.73948509
35,0.16860792,0.69372422,0.61867738
36,0.29981694,0.65314132,0.50294614
37,0.36946681,0.58975267,0.39299953
38,0.34028333,0.53831005,0.39343697
39,0.28728703,0.55374628,0.52199978
40,0.19046174,0.60127223,0.66731954
41,-0.01366015,0.58611548,0.79124373
42,0.53160739,0.58695847,-0.04169787
43,0.54969162,0.65602463,-0.17784466
44,0.53535849,0.70531482,-0.35198611
45,0.46642110,0.68596125,-0.57486117
46,0.34234545,0.55429125,-0.78429079
47,0.50946057,0.60573453,-0.57962167
48,0.57499474,0.61449897,-0.35776120
49,0.54982460,0.56439179,-0.20999709
50,0.52160966,0.53935516,-0.06831648
51,0.45382822,0.35252333,0.16557966
52,0.50263077,0.23940679,0.19983925
53,0.60703880,0.09092698,0.24358502
54,0.68608350,-0.00617786,0.26497689
55,0.32346946,0.28745112,0.25523919
56,0.41036454,0.02607080,0.34940541
57,0.27688721,-0.07441649,0.35854816
58,0.40353024,-0.18110250,0.31557480
59,0.52775389,-0.20127694,0.24809602
60,0.54229850,-0.23659779,0.19588123
61,0.55698490,-0.19466682,0.16528237
62,0.50597292,-0.17810430,0.01871020
63,0.44022539,-0.06914221,-0.09763620
64,0.52924067,0.03240943,0.01216607
65,0.39928165,0.30025271,0.00735187
66,-0.07312377,0.37172103,0.64350551
67,0.09642990,0.45446533,0.58564496
68,0.15989253,0.47959301,0.51475030
69,0.16790453,0.42885429,0.41822517
70,0.15512764,0.34168005,0.33007798
71,0.15253972,0.32061765,0.41676074
72,0.11793111,0.32084009,0.49752340
73,0.05648500,0.33155757,0.56774467
74,0.15808871,0.41850257,0.49454409
75,0.32028046,0.37511855,-0.18446383
76,0.40497562,0.44421846,-0.25412279
77,0.44360554,0.48920670,-0.32857689
78,0.42251909,0.46328092,-0.43855906
79,0.35689121,0.39152011,-0.57367170
80,0.38723436,0.34332189,-0.45959589
81,0.39137703,0.33023906,-0.34666693
82,0.36813807,0.33830598,-0.26412624
83,0.41659176,0.42150170,-0.30183533
84,0.19607106,-0.55798942,0.46936029
85,0.35826269,-0.46772009,0.37914437
86,0.48014128,-0.40378803,0.25288218
87,0.51916510,-0.41523790,0.17843720
88,0.53911692,-0.39577895,0.10222971
89,0.52187198,-0.44050574,-0.06425896
90,0.44060719,-0.52447361,-0.23394369
91,0.50781453,-0.56269979,-0.05493475
92,0.53057230,-0.58974808,0.06527968
93,0.50629979,-0.59662139,0.18036455
94,0.45454901,-0.59293687,0.28852251
95,0.36353573,-0.57500607,0.37419036
96,0.21740787,-0.54264700,0.44433889
97,0.42170829,-0.50179213,0.26123035
98,0.47079435,-0.49939826,0.16411035
99,0.49374926,-0.49134552,0.05904293
100,0.44168979,-0.51103622,-0.21508425
101,0.49163005,-0.49463448,0.06640604
102,0.47677884,-0.50420511,0.16452149
103,0.42723045,-0.50697696,0.26210958
104,0.15083320,0.40524685,0.50399595
105,0.42239550,0.41971281,-0.32959285
