rank correlation 0.980049835222249
top25 overlap 22
                      stem  score106_coords  score134_coords  rank106  rank134  both_top25
  2001_11_01__431490e159af        10.414117        10.910960      1.0      1.0        True
  2003_10_16__faa3a4aaff20        10.142455         9.556918      2.0      2.0        True
  2001_06_16__71d032996fa8         9.524395         9.223495      3.0      4.0        True
  2003_03_09__d963c3a2a7fd         9.420345         9.058972      4.0      8.0        True
  2000_05_09__f521e8b04028         9.345722         9.274543      5.0      3.0        True
  2007_09_07__d22877d53827         9.304418         9.118261      6.0      5.0        True
  2010_07_19__fc479667e703         9.300054         8.885529      7.0     16.0        True
  1999_12_19__268029ccb16b         9.290670         8.926679      8.0     12.0        True
2003_08_04_5__ff990e8c18e9         9.274853         8.936947      9.0     11.0        True
2001_09_06_1__245c19779dd7         9.274257         8.857571     10.0     20.0        True
  2010_08_03__f404f7dc0b6b         9.261661         9.061967     11.0      7.0        True
  2010_06_28__80f5c9f5d085         9.208840         8.863644     12.0     19.0        True
  2000_07_23__5f52c4b8b456         9.198253         9.065949     13.0      6.0        True
  2010_01_07__3de50bb92856         9.175241         8.907016     14.0     13.0        True
1999_08_12_2__f8d0dfc4ed4d         9.152183         8.887214     15.0     15.0        True
2011_12_09_2__8ba7e14bd2da         9.146361         8.788519     16.0     24.0        True
2012_01_25_2__682dc53e8340         9.136377         8.950954     17.0     10.0        True
2001_06_16_2__69d51850915d         9.133472         8.882388     18.0     17.0        True
2006_04_24_2__d9392a8c6bb9         9.132581         8.831366     19.0     22.0        True
2000_05_09_2__bef8b5c58a70         9.111017         8.997124     20.0      9.0        True
  2007_04_08__c233b8c9babd         9.072820         8.826561     23.0     23.0        True
  2008_02_01__1c9577a6c773         9.058474         8.887578     24.0     14.0        True
texture compare error [Errno 2] No such file or directory: '/data/analysis/aba_top25.csv'
