a_filename,b_filename,c_filename,a_date,b_date,c_date,d_ab,d_bc,d_ac,aba_score_geometry,return_features_count,return_features
2008_01_12__0fa6831a685b.png,2008_02_01__1c9577a6c773.png,2008_02_12_2__5915242188c1.png,2008-01-12,2008-02-01,2008-02-12,2.7478544287640516,2.847244065217311,0.7455571366211982,2.051992110369483,8,nose_base_asym; central_depth_contrast; mouth_nose_offset; brow_height_asym; brow_span_3d; eye_level_asym
2003_06_21__ac7632b62d02.png,2003_08_04_5__ff990e8c18e9.png,2003_10_10_2__fdf2604badbd.png,2003-06-21,2003-08-04,2003-10-10,3.0584925993320433,3.205481012275627,1.3841009115220075,1.7478858942818276,2,nose_base_asym; nose_ridge_length_3d
2008_02_01__1c9577a6c773.png,2008_02_12_2__5915242188c1.png,2008_02_14_3__d6f0e64ab9bf.png,2008-02-01,2008-02-12,2008-02-14,2.847244065217311,3.4259624017945285,1.711514172559458,1.4250890609464615,5,mouth_nose_offset; brow_height_asym; eye_level_asym; brow_eye_left_3d; brow_eye_right_3d
2004_09_24__b548f1ec1542.png,2004_09_28__a2845eed8e20.png,2004_11_21__f960ff2a830e.png,2004-09-24,2004-09-28,2004-11-21,2.138488701141092,2.1769815454292405,0.8349771414139632,1.3227579818712032,6,nose_base_asym; mouth_nose_offset; brow_height_asym; midface_ratio; nose_ridge_length_3d; eye_anchor_spacing_3d
2007_03_14__84a9e9985ee5.png,2007_04_08__c233b8c9babd.png,2007_04_13__d0fcd06eb526.png,2007-03-14,2007-04-08,2007-04-13,2.5194093709247873,2.528633225267028,1.256863255359157,1.2671580427367504,4,nose_base_asym; brow_eye_left_3d; nose_axis_bend_3d; mouth_nose_offset
2003_01_10__23b16927f674.png,2003_02_10_1__3769e8a139ff.png,2003_02_10__8b8a3de48d19.png,2003-01-10,2003-02-10,2003-02-10,2.982410619875284,2.3921865910747515,1.4787936895332272,1.2085049159417907,5,nose_base_asym; midface_ratio; mouth_nose_offset; eye_anchor_spacing_3d; brow_eye_asym
2001_06_16_2__69d51850915d.png,2001_06_16__71d032996fa8.png,2001_09_06_1__245c19779dd7.png,2001-06-16,2001-06-16,2001-09-06,2.3536097263990947,2.7010203065978278,1.3322135717009806,1.1951014447974804,7,nose_base_asym; mouth_nose_offset; mouth_width_3d; nose_axis_bend_3d; brow_span_3d; brow_eye_right_3d
2008_02_12_2__5915242188c1.png,2008_02_14_3__d6f0e64ab9bf.png,2008_02_29__d7c336b04f11.png,2008-02-12,2008-02-14,2008-02-29,3.4259624017945285,2.621200325283885,1.8337034630610665,1.1898779004781403,4,mouth_nose_offset; brow_height_asym; nose_ridge_length_3d; eye_anchor_spacing_3d
2003_10_10__72f1e0141a60.png,2003_10_16__faa3a4aaff20.png,2003_12_31__74aef83c2fd7.png,2003-10-10,2003-10-16,2003-12-31,2.3386488304880326,2.7329639548605402,1.3493729236391454,1.186433469035141,2,brow_height_asym; brow_eye_left_3d
1999_10_23__9487fe3a5a1d.png,1999_12_19__268029ccb16b.png,2000_01_14__71a2978f8963.png,1999-10-23,1999-12-19,2000-01-14,2.321095364097906,2.286071593465621,1.2920414794090969,1.0115419993726664,1,nose_base_asym
