metric,description_ru,landmark_ids,min_landmark_visibility_rate,all_144_values_present
brow_span_3d,Расстояние между центрами бровей,"34,35,36,37,38,39,40,42,43,44,45,47,48,49,50",0.9027777777777778,True
brow_height_asym,Разность вертикального положения бровей,"34,35,36,37,38,39,40,42,43,44,45,47,48,49,50",0.9027777777777778,True
eye_anchor_spacing_3d,Расстояние между устойчивыми глазничными якорями,"67,74,104,76,78,81,83,105",0.9166666666666666,True
eye_level_asym,Разность уровней глазничных якорей,"67,74,104,76,78,81,83,105",0.9166666666666666,True
brow_eye_left_3d,Бровь–глазница слева,"34,35,36,37,38,39,40,67,74,104",0.9027777777777778,True
brow_eye_right_3d,Бровь–глазница справа,"42,43,44,45,47,48,49,50,76,78,81,83,105",0.9166666666666666,True
brow_eye_asym,Асимметрия бровь–глазница,"34,35,36,37,38,39,40,42,43,44,45,47,48,49,50,67,74,104,76,78,81,83,105",0.9027777777777778,True
nose_ridge_length_3d,Длина переносицы/спинки,"51,54",1.0,True
nose_base_width_3d,Ширина основания носа,"58,62",0.9861111111111112,True
nose_axis_bend_3d,Отклонение промежуточных точек спинки от прямой,"51,52,53,54",1.0,True
nose_base_asym,Смещение центральной точки основания носа,"58,60,62",0.9861111111111112,True
nose_projection_3d,Проекция кончика носа относительно крыльев,"54,58,62",0.9861111111111112,True
midface_ratio,Глазничная ширина к вертикали до основания носа,"67,74,104,76,78,81,83,105,58,59,60,61,62",0.9166666666666666,True
mouth_width_3d,Ширина рта,"84,90",0.9513888888888888,True
mouth_height_3d,Вертикальный размах губ,"86,87,88,92,93,94",1.0,True
mouth_nose_offset,Боковое смещение центра рта относительно носа,"58,59,60,61,62,84,86,87,88,90,91,92,93,94,95",0.9513888888888888,True
central_depth_contrast,Выступание носа относительно глазничной плоскости,"54,67,74,104,76,78,81,83,105",0.9166666666666666,True
