landmark_id,x,y,z,visible,vertex_index
0,-0.5380076766014099,0.42700180411338806,0.22326339781284332,0,2476
1,-0.4957501292228699,0.4124685227870941,0.26398590207099915,1,3124
2,-0.4657733142375946,0.4121161997318268,0.28591784834861755,0,3513
3,-0.4276021122932434,0.409622460603714,0.30269357562065125,1,3900
4,-0.39690425992012024,0.4089696705341339,0.30928710103034973,1,4158
5,-0.361947625875473,0.40965718030929565,0.2990170419216156,0,4417
6,-0.31101495027542114,0.40586456656455994,0.29660138487815857,1,4805
7,-0.28264039754867554,0.4114619791507721,0.2990018427371979,1,5062
8,-0.25606364011764526,0.40945371985435486,0.300141841173172,1,5320
9,-0.23680181801319122,0.4132319390773773,0.2703877091407776,0,5704
10,-0.21109366416931152,0.42587244510650635,0.24602003395557404,0,6216
11,-0.5816916227340698,0.43068093061447144,0.2141987681388855,0,1955
12,-0.5288406014442444,0.464336097240448,0.2537100911140442,0,2985
13,-0.4977942109107971,0.5037727355957031,0.2871684432029724,1,3499
14,-0.4593828618526459,0.5299667119979858,0.30607444047927856,1,3886
15,-0.4191180169582367,0.5589902997016907,0.31108805537223816,0,4272
16,-0.3913381099700928,0.5675159096717834,0.30827009677886963,0,4530
17,-0.35427454113960266,0.5655561089515686,0.29284265637397766,0,4918
18,-0.3233465552330017,0.5572579503059387,0.2782647907733917,0,5306
19,-0.30606749653816223,0.5312538743019104,0.26470792293548584,1,5437
20,-0.2802320420742035,0.4866814613342285,0.2562389671802521,1,5568
21,-0.24895596504211426,0.4626420736312866,0.2442893385887146,1,5826
22,0.5585249662399292,0.4408681392669678,0.20829053223133087,0,14197
23,0.5251237750053406,0.4244123101234436,0.25310981273651123,1,13298
24,0.47811099886894226,0.4142935276031494,0.2697848975658417,1,12784
25,0.4398574233055115,0.4097153842449188,0.28634950518608093,1,12397
26,0.41166210174560547,0.40640953183174133,0.28756681084632874,1,12140
27,0.37991464138031006,0.4104806184768677,0.29310354590415955,1,11881
28,0.34504932165145874,0.41129350662231445,0.28856199979782104,1,11623
29,0.2983456254005432,0.407243937253952,0.2707248330116272,0,11237
30,0.276605486869812,0.41358640789985657,0.26585671305656433,1,10978
31,0.25244784355163574,0.41921332478523254,0.25056570768356323,0,10588
32,0.2280871868133545,0.4424501657485962,0.23097024857997894,0,10202
33,0.599195659160614,0.45635220408439636,0.22429516911506653,0,14192
34,0.5436604619026184,0.4834817945957184,0.2402326613664627,1,13287
35,0.5056325197219849,0.5103157162666321,0.2580876350402832,1,12770
36,0.47049063444137573,0.5294435620307922,0.2742500305175781,1,12383
37,0.442259818315506,0.541907787322998,0.2824654281139374,0,12125
38,0.4166375398635864,0.5570670962333679,0.29101255536079407,0,11737
39,0.3913350999355316,0.5538211464881897,0.285495787858963,0,11480
40,0.36933252215385437,0.549456000328064,0.2715766727924347,0,11094
41,0.3381500840187073,0.5256471633911133,0.2582230269908905,1,10838
42,0.3112293481826782,0.49787384271621704,0.24852962791919708,1,10710
