landmark_id,x_px,y_px,visible,vertex_index
0,521.7501220703125,494.60382080078125,1,2476
1,543.2968139648438,497.9089050292969,1,3124
2,556.2709350585938,497.1896057128906,0,3513
3,570.1234741210938,496.15863037109375,1,3900
4,580.2537231445312,494.88031005859375,1,4158
5,590.002197265625,493.84661865234375,0,4417
6,604.7594604492188,491.933837890625,1,4805
7,612.690185546875,487.9893798828125,1,5062
8,620.0621948242188,486.0584411621094,1,5320
9,624.5145263671875,483.0203552246094,1,5704
10,628.5240478515625,476.97003173828125,0,6216
11,505.05712890625,495.13720703125,1,1955
12,526.164794921875,477.51153564453125,1,2985
13,539.173095703125,459.185546875,1,3499
14,553.3370361328125,447.419189453125,1,3886
15,565.9131469726562,435.8426208496094,1,4272
16,574.6788330078125,432.2669372558594,0,4530
17,586.3497314453125,432.3401794433594,1,4918
18,595.089599609375,434.3281555175781,1,5306
19,600.2769165039062,443.4327087402344,1,5437
20,608.7178955078125,457.112060546875,0,5568
21,617.0681762695312,465.5249938964844,1,5826
22,830.3907470703125,464.53179931640625,1,14197
23,829.864013671875,473.2544250488281,1,13298
24,821.2774047851562,477.4911804199219,1,12784
25,814.4943237304688,478.86572265625,1,12397
26,808.5536499023438,479.8604736328125,0,12140
27,800.1358642578125,477.897705078125,1,11881
28,790.2974853515625,476.9913330078125,1,11623
29,775.501708984375,476.9536437988281,1,11237
30,768.2078247070312,473.64764404296875,1,10978
31,758.7474975585938,470.45672607421875,1,10588
32,750.7515258789062,462.0184020996094,1,10202
33,839.9024658203125,458.9962463378906,0,14192
34,833.2364501953125,447.38616943359375,1,13287
35,825.9625244140625,438.2415466308594,1,12770
36,818.8167724609375,430.4930114746094,1,12383
37,812.8425903320312,426.82012939453125,1,12125
38,807.5455322265625,422.3798828125,0,11737
39,800.82470703125,424.03070068359375,0,11480
40,793.2881469726562,425.8250427246094,0,11094
41,782.9899291992188,433.69085693359375,1,10838
42,774.754150390625,442.8229064941406,1,10710
43,763.5892333984375,454.6775817871094,0,10453
44,436.3664855957031,467.63568115234375,1,28114
45,462.1728820800781,432.53887939453125,1,28536
46,496.4354248046875,404.2532653808594,1,28821
47,543.4462890625,384.2410583496094,1,29084
48,583.2208251953125,381.70001220703125,1,29267
49,625.20166015625,388.27032470703125,1,29411
50,655.1776733398438,402.1777648925781,1,29550
51,469.5886535644531,442.8616638183594,1,2322
52,502.8871154785156,415.2303161621094,1,3355
53,545.5164794921875,415.552490234375,1,4259
54,589.766845703125,416.7148132324219,1,5161
55,618.7200317382812,422.1558532714844,1,5806
56,653.7588500976562,422.48675537109375,1,6441
57,872.8821411132812,426.9858703613281,0,31796
58,870.8318481445312,403.9418029785156,0,31376
59,851.2293090820312,377.0630187988281,0,31055
60,828.5493774414062,366.3717346191406,1,30787
61,811.8772583007812,375.24212646484375,1,30571
62,787.8793334960938,387.2952880859375,1,30427
63,763.23583984375,395.1523132324219,1,30288
64,873.116943359375,414.14617919921875,0,14044
65,862.8787841796875,395.8107604980469,0,13013
66,843.1083984375,398.1440734863281,1,11981
67,815.1615600585938,412.8704528808594,1,11078
68,786.8777465820312,419.4053039550781,1,10432
69,758.9122314453125,427.1576843261719,1,9808
70,646.6038208007812,749.7434692382812,1,5522
71,656.3099975585938,742.4469604492188,1,5518
72,671.796630859375,736.1951904296875,1,5514
73,686.470458984375,727.07177734375,1,5769
74,699.7044067382812,719.6728515625,1,6025
75,714.3348388671875,711.9730834960938,1,6279
76,730.4386596679688,706.0418701171875,1,6772
77,747.1427612304688,705.9165649414062,1,7495
78,767.5099487304688,711.95458984375,1,8215
79,785.9058227539062,703.2091674804688,1,8935
80,794.0335693359375,703.9152221679688,1,9655
81,803.3788452148438,708.7340087890625,1,10141
82,809.4200439453125,716.2218627929688,1,10395
83,814.0152587890625,721.8511352539062,1,10654
84,820.7411499023438,726.8174438476562,0,10915
85,829.5007934570312,729.5743408203125,1,10919
86,836.106689453125,737.9554443359375,1,10795
87,655.0958251953125,747.7831420898438,1,5909
88,662.7491455078125,747.1912231445312,1,5906
89,679.5764770507812,742.1832275390625,0,6162
90,695.5452270507812,737.9019165039062,0,6415
91,707.9083251953125,733.948486328125,0,6782
92,720.36328125,731.918212890625,0,7145
93,733.2728881835938,731.726318359375,0,7505
94,746.7540893554688,732.921142578125,0,7865
95,757.7354736328125,731.9534912109375,0,8225
96,767.768310546875,730.4862670898438,0,8585
97,777.1980590820312,728.9710693359375,0,8945
98,786.7704467773438,727.03125,0,9305
99,795.048583984375,729.278564453125,0,9665
100,802.4874877929688,732.5741577148438,0,10028
101,810.490966796875,734.6715087890625,0,10277
102,819.5647583007812,734.057861328125,1,10533
103,830.231201171875,736.59716796875,0,10537
104,655.3021240234375,749.2346801757812,0,6041
105,664.1845092773438,748.2291259765625,1,6297
106,677.8539428710938,742.329833984375,1,6544
107,690.5365600585938,734.8993530273438,0,6788
108,710.5848999023438,727.0311889648438,0,7149
109,728.8972778320312,723.6793823242188,0,7509
110,746.7826538085938,722.7632446289062,0,7869
111,764.455322265625,721.374755859375,0,8229
112,777.3961791992188,718.5679931640625,0,8589
113,790.8331909179688,716.6376342773438,0,8949
114,802.2915649414062,721.5750732421875,0,9309
115,812.6251831054688,729.8612060546875,0,9669
116,818.5786743164062,735.2581787109375,0,9912
117,825.499755859375,737.8755493164062,0,10158
118,830.6876220703125,738.5515747070312,0,10410
119,653.1078491210938,752.504638671875,1,5914
120,665.5171508789062,751.79248046875,1,6174
121,683.9183959960938,747.4642333984375,1,6548
122,701.831298828125,745.1747436523438,1,6915
123,720.857421875,746.5082397460938,1,7276
124,739.0254516601562,744.0005493164062,1,7636
125,758.5664672851562,742.56640625,1,7996
126,770.4922485351562,742.3908081054688,1,8236
127,781.2584838867188,741.080810546875,1,8476
128,795.5501098632812,739.6166381835938,1,8836
129,806.1531372070312,738.577880859375,1,9196
130,813.3358154296875,737.3314208984375,1,9555
131,820.315673828125,739.0582885742188,1,9916
132,829.5355834960938,741.8447875976562,0,10287
133,835.66748046875,742.0575561523438,1,10541
