dataset_id,pose_bin,selection_rank,source_filename,record_id,yaw,pitch,roll,canonical_yaw,selection_role
person_01,left_profile,1,frame_000223.jpg,frame_000223,-70.009,-2.662,-0.447,-70.0,canonical_reference
person_01,left_profile,2,frame_000207.jpg,frame_000207,-79.441,6.47,-10.615,-70.0,pose_variation_1
person_01,left_profile,3,frame_000232.jpg,frame_000232,-50.804,-0.918,-0.131,-70.0,pose_variation_2
person_01,left_deep,1,frame_000234.jpg,frame_000234,-44.711,0.205,-0.961,-45.0,canonical_reference
person_01,left_deep,2,frame_000233.jpg,frame_000233,-46.899,-0.235,-0.885,-45.0,pose_variation_1
person_01,left_deep,3,frame_000235.jpg,frame_000235,-42.467,0.027,-0.923,-45.0,pose_variation_2
person_01,left_mid,1,frame_000237.jpg,frame_000237,-33.586,-0.533,-0.274,-32.5,canonical_reference
person_01,left_mid,2,frame_000240.jpg,frame_000240,-25.875,0.067,0.215,-32.5,pose_variation_1
person_01,left_mid,3,frame_000236.jpg,frame_000236,-39.604,-0.085,-1.046,-32.5,pose_variation_2
person_01,left_light,1,frame_000244.jpg,frame_000244,-17.336,0.102,0.537,-17.5,canonical_reference
person_01,left_light,2,frame_000248.jpg,frame_000248,-11.425,0.378,1.0,-17.5,pose_variation_1
person_01,left_light,3,frame_000241.jpg,frame_000241,-21.856,0.019,0.343,-17.5,pose_variation_2
person_01,frontal,1,frame_000289.jpg,frame_000289,0.003,1.383,1.063,0.0,canonical_reference
person_01,frontal,2,frame_000249.jpg,frame_000249,-9.564,0.598,0.987,0.0,pose_variation_1
person_01,frontal,3,frame_000297.jpg,frame_000297,9.346,1.149,1.378,0.0,pose_variation_2
person_01,right_light,1,frame_000301.jpg,frame_000301,17.21,-1.907,2.189,17.5,canonical_reference
person_01,right_light,2,frame_000298.jpg,frame_000298,10.183,0.125,1.442,17.5,pose_variation_1
person_01,right_light,3,frame_000303.jpg,frame_000303,22.012,-1.831,2.884,17.5,pose_variation_2
