zone_code,yaw_bin_center_deg,pose_bin,status,weight,visible_fraction,convention
A01,-70.0,left_profile,exclude,0.000,0.088,v3_positive_is_right
A01,-45.0,left_deep,limited,0.346,0.346,v3_positive_is_right
A01,-32.5,left_mid,support,0.539,0.539,v3_positive_is_right
A01,-17.5,left_light,primary,0.831,0.831,v3_positive_is_right
A01,0.0,frontal,primary,1.000,1.000,v3_positive_is_right
A01,17.5,right_light,primary,1.000,1.000,v3_positive_is_right
A01,32.5,right_mid,primary,0.999,0.999,v3_positive_is_right
A01,45.0,right_deep,primary,0.997,0.997,v3_positive_is_right
A01,70.0,right_profile,primary,0.985,0.985,v3_positive_is_right
A02,-70.0,left_profile,primary,0.730,0.730,v3_positive_is_right
A02,-45.0,left_deep,primary,0.946,0.946,v3_positive_is_right
A02,-32.5,left_mid,primary,0.981,0.981,v3_positive_is_right
A02,-17.5,left_light,primary,1.000,1.000,v3_positive_is_right
A02,0.0,frontal,primary,1.000,1.000,v3_positive_is_right
A02,17.5,right_light,primary,1.000,1.000,v3_positive_is_right
A02,32.5,right_mid,primary,0.980,0.980,v3_positive_is_right
A02,45.0,right_deep,primary,0.937,0.937,v3_positive_is_right
A02,70.0,right_profile,primary,0.710,0.710,v3_positive_is_right
A03,-70.0,left_profile,primary,0.987,0.987,v3_positive_is_right
A03,-45.0,left_deep,primary,0.998,0.998,v3_positive_is_right
A03,-32.5,left_mid,primary,0.999,0.999,v3_positive_is_right
A03,-17.5,left_light,primary,1.000,1.000,v3_positive_is_right
A03,0.0,frontal,primary,1.000,1.000,v3_positive_is_right
A03,17.5,right_light,primary,0.820,0.820,v3_positive_is_right
A03,32.5,right_mid,support,0.543,0.543,v3_positive_is_right
A03,45.0,right_deep,limited,0.351,0.351,v3_positive_is_right
A03,70.0,right_profile,exclude,0.000,0.087,v3_positive_is_right
A04,-70.0,left_profile,exclude,0.000,0.000,v3_positive_is_right
A04,-45.0,left_deep,exclude,0.000,0.000,v3_positive_is_right
A04,-32.5,left_mid,exclude,0.000,0.000,v3_positive_is_right
A04,-17.5,left_light,exclude,0.000,0.027,v3_positive_is_right
A04,0.0,frontal,primary,0.868,0.868,v3_positive_is_right
A04,17.5,right_light,primary,1.000,1.000,v3_positive_is_right
A04,32.5,right_mid,primary,1.000,1.000,v3_positive_is_right
A04,45.0,right_deep,primary,1.000,1.000,v3_positive_is_right
A04,70.0,right_profile,primary,1.000,1.000,v3_positive_is_right
A05,-70.0,left_profile,primary,1.000,1.000,v3_positive_is_right
A05,-45.0,left_deep,primary,1.000,1.000,v3_positive_is_right
A05,-32.5,left_mid,primary,1.000,1.000,v3_positive_is_right
A05,-17.5,left_light,primary,1.000,1.000,v3_positive_is_right
A05,0.0,frontal,primary,0.869,0.869,v3_positive_is_right
A05,17.5,right_light,exclude,0.000,0.027,v3_positive_is_right
A05,32.5,right_mid,exclude,0.000,0.000,v3_positive_is_right
A05,45.0,right_deep,exclude,0.000,0.000,v3_positive_is_right
A05,70.0,right_profile,exclude,0.000,0.000,v3_positive_is_right
A06,-70.0,left_profile,exclude,0.000,0.108,v3_positive_is_right
A06,-45.0,left_deep,support,0.489,0.489,v3_positive_is_right
A06,-32.5,left_mid,primary,0.779,0.779,v3_positive_is_right
A06,-17.5,left_light,primary,0.945,0.945,v3_positive_is_right
A06,0.0,frontal,primary,1.000,1.000,v3_positive_is_right
A06,17.5,right_light,primary,0.999,0.999,v3_positive_is_right
A06,32.5,right_mid,primary,0.999,0.999,v3_positive_is_right
A06,45.0,right_deep,primary,0.996,0.996,v3_positive_is_right
A06,70.0,right_profile,primary,0.970,0.970,v3_positive_is_right
A07,-70.0,left_profile,primary,0.967,0.967,v3_positive_is_right
A07,-45.0,left_deep,primary,0.997,0.997,v3_positive_is_right
A07,-32.5,left_mid,primary,0.999,0.999,v3_positive_is_right
A07,-17.5,left_light,primary,0.999,0.999,v3_positive_is_right
A07,0.0,frontal,primary,0.999,0.999,v3_positive_is_right
A07,17.5,right_light,primary,0.939,0.939,v3_positive_is_right
A07,32.5,right_mid,primary,0.785,0.785,v3_positive_is_right
A07,45.0,right_deep,support,0.475,0.475,v3_positive_is_right
A07,70.0,right_profile,exclude,0.000,0.115,v3_positive_is_right
A08,-70.0,left_profile,support,0.501,0.501,v3_positive_is_right
A08,-45.0,left_deep,support,0.564,0.564,v3_positive_is_right
A08,-32.5,left_mid,support,0.647,0.647,v3_positive_is_right
A08,-17.5,left_light,primary,0.846,0.846,v3_positive_is_right
A08,0.0,frontal,primary,0.969,0.969,v3_positive_is_right
A08,17.5,right_light,primary,0.824,0.824,v3_positive_is_right
A08,32.5,right_mid,support,0.640,0.640,v3_positive_is_right
A08,45.0,right_deep,support,0.559,0.559,v3_positive_is_right
A08,70.0,right_profile,support,0.496,0.496,v3_positive_is_right
A09,-70.0,left_profile,exclude,0.000,0.000,v3_positive_is_right
A09,-45.0,left_deep,exclude,0.000,0.136,v3_positive_is_right
A09,-32.5,left_mid,limited,0.273,0.273,v3_positive_is_right
A09,-17.5,left_light,support,0.467,0.467,v3_positive_is_right
A09,0.0,frontal,primary,0.799,0.799,v3_positive_is_right
A09,17.5,right_light,primary,1.000,1.000,v3_positive_is_right
A09,32.5,right_mid,primary,1.000,1.000,v3_positive_is_right
A09,45.0,right_deep,primary,1.000,1.000,v3_positive_is_right
A09,70.0,right_profile,primary,1.000,1.000,v3_positive_is_right
A10,-70.0,left_profile,primary,1.000,1.000,v3_positive_is_right
A10,-45.0,left_deep,primary,1.000,1.000,v3_positive_is_right
A10,-32.5,left_mid,primary,1.000,1.000,v3_positive_is_right
A10,-17.5,left_light,primary,1.000,1.000,v3_positive_is_right
A10,0.0,frontal,primary,0.796,0.796,v3_positive_is_right
A10,17.5,right_light,support,0.464,0.464,v3_positive_is_right
A10,32.5,right_mid,limited,0.275,0.275,v3_positive_is_right
A10,45.0,right_deep,exclude,0.000,0.139,v3_positive_is_right
